what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1297011553542
processors,sysinfo,,,"4",1297011553542
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1297011553542
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1297011553542
java.specification.name,sysinfo,,,"Java Platform API Specification",1297011553542
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297011553542
java.specification.version,sysinfo,,,"1.6",1297011553542
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1297011553542
java.version,sysinfo,,,"1.6.0_23",1297011553542
java.vm.info,sysinfo,,,"mixed mode",1297011553542
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1297011553542
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1297011553542
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297011553542
java.vm.specification.version,sysinfo,,,"1.0",1297011553542
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1297011553542
java.vm.version,sysinfo,,,"19.0-b09",1297011553542
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011561694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011569522
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1297011577517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011578275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011585030
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.customizePerspective",1297011585057
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1297011587278
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1297011587477
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1297011587624
opened,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1297011587886
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1297011587932
started,bundle,com.sysdeo.eclipse.tomcat,3.2.1,"com.sysdeo.eclipse.tomcat",1297011589202
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011589220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011591088
activated,perspective,org.eclipse.wst.web.ui,,"org.eclipse.wst.web.ui.webDevPerspective",1297011595445
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1297011597361
closed,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297011597615
closed,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1297011597626
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.closePerspective",1297011597631
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1297011600950
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011602932
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011604167
error,log,,,"Invalid preference page path: Web Page Editor",1297011606084
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011606254
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011638575
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1297011641858
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1297011642695
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1297011642798
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1297011643108
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297011645080
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297011651957
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011655067
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011659670
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011665927
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011669906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011676760
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011740467
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1297011747712
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297011749570
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1297011750401
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297011753764
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1297011756715
opened,view,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.views.AntView",1297011756797
activated,view,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.views.AntView",1297011756843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1297011756843
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297011759966
closed,view,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.views.AntView",1297011759972
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011764871
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011768975
opened,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1297011769020
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1297011769063
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1297011769063
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1297011769063
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297011770618
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1297011771520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011774532
started,bundle,org.eclipse.wst.server.discovery,1.0.101.v20100707,"org.eclipse.wst.server.discovery",1297011779582
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1297011779595
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1297011779611
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1297011779737
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1297011779751
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1297011779804
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1297011779872
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1297011779874
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1297011779925
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011791190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011792433
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011813500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011815384
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011824205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011826732
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011829243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011834270
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011840701
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011850899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011864180
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011870196
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011879474
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1297011879481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1297011879481
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297011882785
